size, quickSortIntegers_time, heapSort_time
1000, 0.000051, 0.000357
2000, 0.000059, 0.000611
3000, 0.000094, 0.000948
4000, 0.000115, 0.001289
5000, 0.000143, 0.001564
6000, 0.000157, 0.001849
7000, 0.000184, 0.002223
8000, 0.000210, 0.002532
9000, 0.000236, 0.002823
10000, 0.000242, 0.002952
11000, 0.000266, 0.003319
12000, 0.000263, 0.003124
13000, 0.000289, 0.003452
14000, 0.000303, 0.003704
15000, 0.000315, 0.003829
16000, 0.000314, 0.003989
17000, 0.000334, 0.004228
18000, 0.000333, 0.004298
19000, 0.000351, 0.004519
20000, 0.000349, 0.004595
21000, 0.000374, 0.004767
22000, 0.000364, 0.004863
23000, 0.000388, 0.005012
24000, 0.000368, 0.003413
25000, 0.000271, 0.003620
26000, 0.000287, 0.003734
27000, 0.000292, 0.003888
28000, 0.000303, 0.004023
29000, 0.000314, 0.004177
30000, 0.000325, 0.004374
31000, 0.000340, 0.004414
32000, 0.000335, 0.004605
33000, 0.000345, 0.004615
34000, 0.000351, 0.004764
35000, 0.000369, 0.004987
36000, 0.000378, 0.005114
37000, 0.000398, 0.005178
38000, 0.000387, 0.005503
39000, 0.000415, 0.005611
40000, 0.000420, 0.005787
41000, 0.000435, 0.005942
42000, 0.000447, 0.006047
43000, 0.000456, 0.005928
44000, 0.000437, 0.005980
45000, 0.000475, 0.006151
46000, 0.000466, 0.006398
47000, 0.000465, 0.006438
48000, 0.000471, 0.006594
49000, 0.000485, 0.006724
50000, 0.000494, 0.006797
51000, 0.000501, 0.007065
52000, 0.000551, 0.007405
53000, 0.000555, 0.007391
54000, 0.000536, 0.007513
55000, 0.000624, 0.007970
56000, 0.000550, 0.007733
57000, 0.000560, 0.007824
58000, 0.000570, 0.008117
59000, 0.000583, 0.008135
60000, 0.000596, 0.008386
61000, 0.000603, 0.008575
62000, 0.000610, 0.008744
63000, 0.000663, 0.009107
64000, 0.000632, 0.009168
65000, 0.000639, 0.009129
66000, 0.000652, 0.009351
67000, 0.000669, 0.009382
68000, 0.000688, 0.009553
69000, 0.000661, 0.009557
70000, 0.000703, 0.009818
71000, 0.000698, 0.010116
72000, 0.000741, 0.010272
73000, 0.000721, 0.010399
74000, 0.000729, 0.011139
75000, 0.000794, 0.010693
76000, 0.000754, 0.010651
77000, 0.000769, 0.010745
78000, 0.000764, 0.010904
79000, 0.000780, 0.010962
80000, 0.000815, 0.011293
81000, 0.000860, 0.011639
82000, 0.000878, 0.011577
83000, 0.000791, 0.011754
84000, 0.000806, 0.011744
85000, 0.000816, 0.011823
86000, 0.000867, 0.012247
87000, 0.000858, 0.012407
88000, 0.000869, 0.012551
89000, 0.000878, 0.012833
90000, 0.000891, 0.012699
91000, 0.000868, 0.012716
92000, 0.000895, 0.012717
93000, 0.000887, 0.013306
94000, 0.000928, 0.013352
95000, 0.000937, 0.013511
96000, 0.000942, 0.013531
97000, 0.000969, 0.014026
98000, 0.000973, 0.014145
99000, 0.000978, 0.014546
